# United Kingdom
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-2.8623779 54.04383332
-2.84648739 54.1353006
-2.86757138 54.17726187
-2.99350684 54.17049226
-3.05474341 54.15343903
-3.10967546 54.12630891
-3.1659511 54.12793671
-3.321523 54.22909333
-3.41027727 54.30562613
-3.569389 54.46758006
-3.59202328 54.56437002
-3.4645892 54.77309113
-3.2679087 54.90657136
-3.03621741 54.95308015
-3.08107256 54.96196849
-3.4341001 54.96377717
-3.55042375 54.94739574
-3.65827247 54.89285126
-3.71925066 54.87613394
-3.78325192 54.86993277
-3.84162045 54.84275096
-3.89856788 54.80507884
-3.95789242 54.78094595
-4.07576636 54.7871988
-4.13294634 54.77924063
-4.17400326 54.80109976
-4.20836809 54.83716991
-4.25342994 54.84678172
-4.30365943 54.83567129
-4.40990618 54.78704377
-4.51749651 54.75833751
-4.64756609 54.78900747
-4.81807248 54.84616161
-4.85171383 54.82528433
-4.88948931 54.77229015
-4.91124508 54.68947866
-5.0323488 54.76136058
-5.13549496 54.85753042
-5.17011817 54.91794017
-5.17270199 54.98589468
-5.11671058 55.0122755
-5.05583574 54.98811677
-4.96516944 55.14947643
-4.78481869 55.35941193
-4.72115333 55.4209844
-4.67676327 55.50131542
-4.68435971 55.55392202
-4.7241764 55.59831208
-4.89184058 55.6991328
-4.8896185 55.78122081
-4.87168677 55.87390249
-4.82605648 55.92955801
-4.80683285 55.94015168
-4.58410743 55.9386789
-4.67094967 55.96738516
-4.84409156 56.05117849
-4.84104265 56.0808666
-4.80026994 56.15832958
-4.81913184 56.15047476
-4.85623552 56.11471467
-4.92708391 56.02807913
-4.97036292 56.00787364
-5.09283607 55.98728059
-5.11497942 55.94464753
-5.13466814 55.93348542
-5.19585303 55.92867951
-5.21461158 55.88888866
-5.22820248 55.88630484
-5.24561744 55.92924795
-5.24732276 56.0004064
-5.22293148 56.06582876
-5.1764227 56.11698843
-4.99695045 56.23336376
-5.08433529 56.19744864
-5.28230771 56.08996166
-5.38343848 56.01921662
-5.41046526 55.99534211
-5.41888852 55.97523998
-5.41832007 55.95203726
-5.37289649 55.82770376
-5.38586728 55.77013622
-5.55645118 55.38959097
-5.58874895 55.35140209
-5.61843706 55.33145498
-5.6465232 55.32682994
-5.73067827 55.33414216
-5.76819536 55.36266755
-5.76785946 55.39496532
-5.75209815 55.44346365
-5.68135312 55.62399527
-5.65063148 55.67409557
-5.60502702 55.72073355
-5.50451636 55.80238231
-5.50694516 55.80770498
-5.57389197 55.79168529
-5.60239153 55.79698212
-5.62285539 55.81313101
-5.60960039 56.05528677
-5.55526262 56.13497183
-5.53495378 56.25083039
-5.48787655 56.35004914
-5.43340959 56.42229279
-5.39193926 56.51479361
-5.32943661 56.55592805
-5.31269345 56.61881826
-5.24256853 56.68685029
-5.18835995 56.75806041
-5.21755714 56.75100658
-5.56420264 56.56574657
-5.65244015 56.53200186
-5.7728204 56.5410194
-5.86485613 56.56187084
-5.93676388 56.60569245
-5.96888078 56.6898992
-6.05768673 56.69214712
-6.13370277 56.70669404
-6.13277259 56.71803701
-6.03471656 56.76392569
-5.87764604 56.77963532
-5.73060076 56.85306753
-5.86141964 56.90267691
-5.85036089 56.91841238
-5.73628516 56.96065786
-5.59133277 57.10235464
-5.56192888 57.23273428
-5.63127865 57.29397085
-5.65634172 57.33407176
-5.79493791 57.37882355
-5.81808896 57.43608104
-5.80194007 57.46801708
-5.75672319 57.49922964
-5.68863949 57.52351756
-5.58177263 57.5467978
-5.67876929 57.57168
-5.71496863 57.60108389
-5.74238298 57.64366527
-5.74491513 57.66831493
-5.69473731 57.7782307
-5.66548845 57.82355093
-5.60833432 57.88135102
-5.34902198 57.8780954
-5.31917884 57.90359772
-5.28980079 57.90457958
-5.1572249 57.88132518
-5.17688778 57.90638825
-5.39377377 58.04358918
-5.41320411 58.06971162
-5.35134742 58.14368643
-5.34690325 58.17665599
-5.35594662 58.21189932
-5.33827328 58.23871939
-5.26954363 58.25143179
-5.05994402 58.25016572
-5.00829342 58.26264558
-5.03183204 58.29830231
-5.08061459 58.34517284
-5.09014889 58.38452444
-5.07870256 58.41930268
-5.07601539 58.48924673
-5.06650692 58.52020091
-5.01674252 58.56655467
-4.97563392 58.5803006
-4.92465512 58.58838797
-4.80962338 58.57288504
-4.76577593 58.55420401
-4.71541724 58.51002066
-4.67821021 58.51358633
-4.53498898 58.56159374
-4.49191667 58.5684667
-4.43326392 58.51286286
-4.18862769 58.55720124
-3.85952633 58.57709667
-3.66178646 58.60629385
-3.45358212 58.61688752
-3.2591237 58.65001211
-3.05308977 58.63481924
-3.04616513 58.61551809
-3.05699134 58.58877554
-3.10967546 58.51549836

-2.92937639 58.74160859
-2.93893653 58.73863719
-2.97536841 58.75693065
-3.03546811 58.82266307
-2.94121029 58.83568553
-2.89643266 58.82757233
-2.91307248 58.79961538
-2.92937639 58.74160859

-3.16491757 58.79418936
-3.22212338 58.78096019
-3.27878659 58.78191621
-3.36717912 58.83976797
-3.40082048 58.88178091
-3.39469682 58.90963451
-3.35741228 58.91898794
-3.27193946 58.90529369
-3.22765276 58.85718293
-3.22212338 58.82589285
-3.21163306 58.81356802
-3.15856137 58.80121735
-3.16491757 58.79418936

-3.05740475 59.02962718
-3.07071143 59.00497753
-2.99466956 59.00554597
-2.88457292 58.98451366
-2.81791033 58.98187816
-2.76246151 58.95583324
-2.79300229 58.90694733
-2.82620439 58.89325308
-2.86377316 58.89051423
-2.99479875 58.93934846
-3.16657121 58.91909129
-3.20078101 58.92529247
-3.22336361 58.93875418
-3.23261369 58.95549734
-3.23279456 58.98962963
-3.242148 58.99973237
-3.30434058 58.96740876
-3.33162574 58.97123282
-3.34705115 58.98673574
-3.35371741 59.01877513
-3.34681861 59.06497386
-3.31033505 59.13080964
-3.24858171 59.14396129
-3.15649431 59.13633902
-3.05112606 59.09902863
-3.01924171 59.07603262
-3.02001685 59.05768749
-3.05740475 59.02962718

-2.54888282 59.23137198
-2.66205421 59.23018342
-2.603634 59.28930126
-2.53565365 59.30413239
-2.40697934 59.29756949
-2.42982032 59.27105948
-2.54888282 59.23137198

-2.7293886 59.18674938
-2.81522315 59.16191885
-2.85186174 59.18248607
-2.86144772 59.24682323
-2.96379289 59.27436677
-3.01345395 59.29147167
-3.0520304 59.32387279
-3.04223772 59.33384634
-2.97552344 59.34712718
-2.86162859 59.2883194
-2.81501645 59.24082876
-2.73065467 59.22677277
-2.71993181 59.2194864
-2.7293886 59.18674938

-1.30813168 60.5374938
-1.28740943 60.46705882
-1.23575884 60.4853006
-1.15775326 60.41770783
-1.11798825 60.41760448
