# Meuse (Maas) catchment
6.208 51.717 6011000
6.267 51.717 6011000
6.267 51.708 6011000
6.300 51.708 6011000
6.300 51.683 6011000
6.308 51.683 6011000
6.308 51.667 6011000
6.317 51.667 6011000
6.317 51.658 6011000
6.350 51.658 6011000
6.350 51.642 6011000
6.358 51.642 6011000
6.358 51.633 6011000
6.375 51.633 6011000
6.375 51.625 6011000
6.383 51.625 6011000
6.383 51.592 6011000
6.400 51.592 6011000
6.400 51.583 6011000
6.433 51.583 6011000
6.433 51.575 6011000
6.483 51.575 6011000
6.483 51.567 6011000
6.492 51.567 6011000
6.492 51.550 6011000
6.508 51.550 6011000
6.508 51.542 6011000
6.517 51.542 6011000
6.517 51.533 6011000
6.525 51.533 6011000
6.525 51.525 6011000
6.533 51.525 6011000
6.533 51.517 6011000
6.542 51.517 6011000
6.542 51.500 6011000
6.550 51.500 6011000
6.550 51.492 6011000
6.567 51.492 6011000
6.567 51.467 6011000
6.575 51.467 6011000
6.575 51.458 6011000
6.583 51.458 6011000
6.583 51.425 6011000
6.592 51.425 6011000
6.592 51.408 6011000
6.600 51.408 6011000
6.600 51.400 6011000
6.608 51.400 6011000
6.608 51.383 6011000
6.617 51.383 6011000
6.617 51.367 6011000
6.625 51.367 6011000
6.625 51.342 6011000
6.592 51.342 6011000
6.592 51.333 6011000
6.567 51.333 6011000
6.567 51.325 6011000
6.558 51.325 6011000
6.558 51.317 6011000
6.567 51.317 6011000
6.567 51.267 6011000
6.617 51.267 6011000
6.617 51.208 6011000
6.608 51.208 6011000
6.608 51.158 6011000
6.617 51.158 6011000
6.617 51.150 6011000
6.625 51.150 6011000
6.625 51.142 6011000
6.600 51.142 6011000
6.600 51.133 6011000
6.583 51.133 6011000
6.583 51.117 6011000
6.575 51.117 6011000
6.575 51.108 6011000
6.567 51.108 6011000
6.567 51.100 6011000
6.542 51.100 6011000
6.542 51.092 6011000
6.517 51.092 6011000
6.517 51.100 6011000
6.508 51.100 6011000
6.508 51.108 6011000
6.483 51.108 6011000
6.483 51.100 6011000
6.467 51.100 6011000
6.467 51.092 6011000
6.475 51.092 6011000
6.475 51.067 6011000
6.467 51.067 6011000
6.467 51.050 6011000
6.458 51.050 6011000
6.458 51.042 6011000
6.450 51.042 6011000
6.450 50.992 6011000
6.433 50.992 6011000
6.433 50.983 6011000
6.417 50.983 6011000
6.417 50.975 6011000
6.383 50.975 6011000
6.383 50.958 6011000
6.367 50.958 6011000
6.367 50.950 6011000
6.375 50.950 6011000
6.375 50.942 6011000
